county,state,estimate_2010,estimate_2011,estimate_2012,estimate_2013,estimate_2014,estimate_2015
Barry County,Michigan,59080,58970,59070,59140,59239,59314
Bay County,Michigan,107695,107497,107121,106958,106256,105659
Benzie County,Michigan,17507,17436,17390,17398,17505,17457
Berrien County,Michigan,156792,156510,156015,155363,155299,154636
Branch County,Michigan,45172,43897,43770,43531,43668,43664
Calhoun County,Michigan,136025,135291,134750,134772,134821,134314
Cass County,Michigan,52188,52456,52036,51834,51775,51657
Charlevoix County,Michigan,25893,26012,26071,26180,26171,26238
Cheboygan County,Michigan,26080,25940,25779,25618,25685,25427
Chippewa County,Michigan,38600,38902,39003,38674,38320,38033
Clare County,Michigan,31006,30962,30788,30578,30670,30553
Clinton County,Michigan,75421,76206,76463,77111,77353,77390
Crawford County,Michigan,14059,14034,13994,13906,13742,13801
Delta County,Michigan,37070,36944,36848,36838,36552,36377
Dickinson County,Michigan,26144,26072,26215,26038,25947,25788
Eaton County,Michigan,107758,107882,108023,108292,108706,108801
Emmet County,Michigan,32644,32776,32890,33064,33200,33161
Genesee County,Michigan,425057,421784,418110,415695,412934,410849
Gladwin County,Michigan,25720,25842,25515,25534,25451,25164
Gogebic County,Michigan,16400,16121,16035,15856,15678,15431
Grand Traverse County,Michigan,86964,88138,88988,89979,90796,91636
Gratiot County,Michigan,42425,42151,42035,42033,41633,41540
Hillsdale County,Michigan,46619,46622,46283,46129,45917,45941
Houghton County,Michigan,36715,36895,36827,36707,36491,36380
Huron County,Michigan,33079,32746,32471,32266,32082,31883
Ingham County,Michigan,281065,282037,282386,282684,284263,286085
Ionia County,Michigan,63865,63865,63911,64021,64299,64223
Iosco County,Michigan,25826,25545,25370,25354,25391,25345
Iron County,Michigan,11798,11749,11573,11508,11357,11348
Isabella County,Michigan,70312,70656,70631,70542,70820,70698
Jackson County,Michigan,160169,159683,160137,159858,159624,159494
Kalamazoo County,Michigan,250754,252456,254969,257162,258908,260263
Kalkaska County,Michigan,17128,17147,17085,17281,17378,17260
Kent County,Michigan,602992,608111,615025,623221,630225,636369
Keweenaw County,Michigan,2144,2230,2206,2176,2210,2168
Lake County,Michigan,11513,11487,11482,11394,11345,11424
Lapeer County,Michigan,88203,88067,88230,88305,88199,88373
Leelanau County,Michigan,21716,21659,21623,21711,21884,21981
Lenawee County,Michigan,99638,99332,99018,98806,98780,98573
Livingston County,Michigan,181028,182382,183072,184483,185703,187316
Luce County,Michigan,6605,6525,6498,6523,6422,6415
Mackinac County,Michigan,11087,11071,11135,11062,11060,10890
Macomb County,Michigan,841247,843001,848293,855674,861636,864840
Manistee County,Michigan,24580,24727,24627,24446,24417,24461
Marquette County,Michigan,67110,67452,67813,67757,67675,67215
Mason County,Michigan,28730,28651,28677,28659,28786,28783
Mecosta County,Michigan,42844,43442,43519,43270,43207,43067
Menominee County,Michigan,23976,23923,23748,23755,23611,23548
Midland County,Michigan,83664,83761,83660,83588,83479,83632
Missaukee County,Michigan,14814,14940,15031,15080,14988,14903
Monroe County,Michigan,151945,151535,150878,150253,149945,149568
Montcalm County,Michigan,63311,63223,63103,62850,62900,62945
Montmorency County,Michigan,9775,9595,9494,9364,9292,9259
Muskegon County,Michigan,171922,169985,170129,172213,172300,172790
Newaygo County,Michigan,48378,48418,47952,47943,47883,47948
Oakland County,Michigan,1202930,1211211,1221391,1232713,1239897,1242304
Oceana County,Michigan,26522,26417,26251,26200,26174,26105
Ogemaw County,Michigan,21637,21535,21424,21204,21010,20937
Ontonagon County,Michigan,6745,6614,6408,6305,6158,6007
Osceola County,Michigan,23513,23448,23265,23253,23144,23058
Oscoda County,Michigan,8603,8648,8593,8376,8350,8251
Otsego County,Michigan,24151,24131,24048,24123,24148,24253
Ottawa County,Michigan,264141,266429,269616,273080,276598,279955
Presque Isle County,Michigan,13304,13185,13120,13050,12989,12841
Roscommon County,Michigan,24470,24322,24140,23967,24013,23898
Saginaw County,Michigan,199916,198855,198329,196764,195142,193307
St. Clair County,Michigan,162681,161493,160549,160193,160037,159875
St. Joseph County,Michigan,61288,61078,60953,60940,61120,61018
Sanilac County,Michigan,43077,42713,42334,41898,41652,41475
Schoolcraft County,Michigan,8478,8482,8360,8252,8171,8173
Shiawassee County,Michigan,70602,69946,69269,68842,68889,68619
Tuscola County,Michigan,55696,55392,54714,54222,53993,53777
Van Buren County,Michigan,76155,75914,75258,75331,75177,75077
Washtenaw County,Michigan,345563,349048,351213,354289,357029,358880
Wayne County,Michigan,1815199,1801273,1792514,1775713,1766008,1759335
Wexford County,Michigan,32757,32694,32597,32538,32922,33003
Aitkin County,Minnesota,16219,16105,15934,15745,15708,15702
Anoka County,Minnesota,331453,332877,336021,339027,341742,344151
Becker County,Minnesota,32537,32819,33019,33214,33246,33386
Beltrami County,Minnesota,44579,45098,45229,45550,45623,45672
Benton County,Minnesota,38470,38842,38881,39231,39439,39710
Big Stone County,Minnesota,5260,5224,5166,5114,5125,5040
Blue Earth County,Minnesota,64093,64353,65067,64923,65497,65787
Brown County,Minnesota,25856,25663,25408,25280,25290,25313
Carlton County,Minnesota,35416,35484,35324,35368,35470,35569
Carver County,Minnesota,91394,92843,93923,95671,97396,98741
Cass County,Minnesota,28651,28388,28419,28521,28559,28706
Chippewa County,Minnesota,12447,12332,12147,12099,12085,12109
Chisago County,Minnesota,53917,53742,53479,53728,53928,54293
Clay County,Minnesota,59149,59967,60218,60606,61281,62324
Clearwater County,Minnesota,8703,8706,8676,8779,8796,8803
Cook County,Minnesota,5163,5204,5177,5168,5223,5194
Cottonwood County,Minnesota,11700,11741,11646,11637,11589,11549
Crow Wing County,Minnesota,62624,62662,62854,63075,63220,63428
Dakota County,Minnesota,399188,401977,404925,408508,412182,414686
Dodge County,Minnesota,20156,20186,20242,20311,20347,20364
Douglas County,Minnesota,35997,36248,36435,36545,36798,37075
Faribault County,Minnesota,14488,14525,14247,14170,14156,14050
Fillmore County,Minnesota,20832,20870,20882,20817,20812,20834
Freeborn County,Minnesota,31210,31093,31042,30946,30789,30613
Goodhue County,Minnesota,46199,46276,46402,46395,46375,46435
Grant County,Minnesota,6003,6003,5945,5985,5969,5903
Hennepin County,Minnesota,1154250,1169437,1184617,1199581,1212097,1223149
Houston County,Minnesota,18999,18917,18813,18814,18743,18773
Hubbard County,Minnesota,20426,20497,20444,20690,20586,20655
Isanti County,Minnesota,37884,38243,38239,38175,38394,38429
Itasca County,Minnesota,45014,45123,45240,45456,45516,45435
Jackson County,Minnesota,10264,10188,10287,10254,10247,10079
Kanabec County,Minnesota,16224,16233,15989,16017,15939,15837
Kandiyohi County,Minnesota,42247,42263,42439,42512,42465,42542
Kittson County,Minnesota,4543,4537,4507,4491,4442,4424
Koochiching County,Minnesota,13306,13242,13187,13117,12883,12841
Lac qui Parle County,Minnesota,7237,7236,7123,7006,6895,6856
Lake County,Minnesota,10873,10813,10834,10790,10681,10631
Lake of the Woods County,Minnesota,4032,4014,3961,3928,3917,3923
Le Sueur County,Minnesota,27701,27809,27650,27664,27748,27663
Lincoln County,Minnesota,5885,5853,5806,5804,5804,5771
Lyon County,Minnesota,25859,25795,25723,25593,25713,25673
McLeod County,Minnesota,36605,36410,36016,35980,35891,35932
Mahnomen County,Minnesota,5424,5494,5520,5485,5525,5457
Marshall County,Minnesota,9436,9480,9475,9453,9434,9423
Martin County,Minnesota,20818,20626,20472,20423,20206,20022
Meeker County,Minnesota,23321,23221,23070,23104,23148,23102
Mille Lacs County,Minnesota,26095,25884,25737,25842,25794,25788
Morrison County,Minnesota,33229,33240,33089,32862,32844,32775
Mower County,Minnesota,39191,39282,39312,39208,39218,39116
Murray County,Minnesota,8692,8657,8586,8541,8447,8413
Nicollet County,Minnesota,32747,32965,32947,32915,33257,33347
Nobles County,Minnesota,21398,21582,21687,21744,21653,21770
Norman County,Minnesota,6849,6842,6640,6659,6643,6678
Olmsted County,Minnesota,144522,145928,147048,149070,150199,151436
Otter Tail County,Minnesota,57282,57332,57305,57579,57622,57716
Pennington County,Minnesota,13961,14045,14094,14114,14079,14219
Pine County,Minnesota,29723,29619,29216,29077,29109,29069
Pipestone County,Minnesota,9593,9526,9383,9288,9301,9271
Polk County,Minnesota,31632,31540,31489,31658,31517,31533
Pope County,Minnesota,10964,10921,10912,10914,10952,11041
Ramsey County,Minnesota,509428,515945,521288,528056,533634,538133
Red Lake County,Minnesota,4076,4103,4075,4051,4019,4055
Redwood County,Minnesota,16040,16066,15867,15702,15509,15471
Renville County,Minnesota,15687,15465,15355,15140,15003,14892
Rice County,Minnesota,64243,64516,64557,64813,65143,65400
Rock County,Minnesota,9664,9630,9554,9516,9516,9600
Roseau County,Minnesota,15572,15524,15507,15532,15740,15770
St. Louis County,Minnesota,200158,200353,200383,200581,200780,200431
Scott County,Minnesota,130537,132681,135265,137533,139470,141660
Sherburne County,Minnesota,88799,89286,89555,90251,91208,91705
Sibley County,Minnesota,15234,15182,15109,15040,14897,14875
Stearns County,Minnesota,150749,151277,151683,152165,153140,154708
Steele County,Minnesota,36507,36554,36302,36402,36600,36755
Stevens County,Minnesota,9715,9725,9737,9758,9838,9796
Swift County,Minnesota,9753,9684,9611,9543,9446,9340
Todd County,Minnesota,24874,24830,24545,24429,24269,24257
Traverse County,Minnesota,3541,3514,3427,3410,3391,3401
Wabasha County,Minnesota,21663,21523,21408,21422,21314,21239
Wadena County,Minnesota,13844,13714,13697,13770,13740,13875
Waseca County,Minnesota,19138,19170,19184,19071,18965,18989
Washington County,Minnesota,238995,241609,244138,246686,249320,251597
Watonwan County,Minnesota,11197,11172,11125,11051,10969,10952
Wilkin County,Minnesota,6578,6584,6614,6540,6494,6396
Winona County,Minnesota,51419,51370,51362,51341,51107,50885
Wright County,Minnesota,125137,126343,127372,128402,130026,131311
Yellow Medicine County,Minnesota,10425,10277,10158,10115,10033,9875
Adams County,Mississippi,32560,32413,32168,32125,31935,31254
Alcorn County,Mississippi,37108,37302,37233,37324,37346,37388
Amite County,Mississippi,13112,13176,12966,12874,12612,12574
Attala County,Mississippi,19540,19315,19103,19300,19112,19043
Benton County,Mississippi,8695,8705,8649,8503,8312,8182
Bolivar County,Mississippi,34091,33810,34033,34014,33835,33322
Calhoun County,Mississippi,14952,14910,14843,14732,14745,14717
Carroll County,Mississippi,10580,10456,10398,10340,10255,10243
Chickasaw County,Mississippi,17414,17469,17439,17342,17375,17328
Choctaw County,Mississippi,8561,8402,8358,8400,8310,8299
Claiborne County,Mississippi,9571,9780,9374,9170,9177,9150
Clarke County,Mississippi,16707,16661,16501,16374,16269,16006
Clay County,Mississippi,20547,20491,20376,20336,20143,20048
Coahoma County,Mississippi,26121,25864,25681,25195,24909,24620
Copiah County,Mississippi,29428,29244,28913,28810,28864,28773
Covington County,Mississippi,19595,19509,19537,19390,19378,19543
DeSoto County,Mississippi,161788,163917,166367,168438,170886,173323
Forrest County,Mississippi,74998,75884,76728,76766,76014,75944
Franklin County,Mississippi,8117,7985,7887,7883,7786,7743
George County,Mississippi,22659,22826,22891,23161,23271,23373
Greene County,Mississippi,14404,14285,14287,14237,14312,13522
Grenada County,Mississippi,21855,21577,21602,21540,21656,21578
Hancock County,Mississippi,44102,44762,45327,45592,46035,46420
Harrison County,Mississippi,187896,190940,193700,196533,198758,201410
Hinds County,Mississippi,245701,248324,248181,245570,244406,242891
Holmes County,Mississippi,19400,19196,19053,18762,18508,18340
Humphreys County,Mississippi,9330,9322,9210,8949,8772,8669
Issaquena County,Mississippi,1394,1391,1408,1413,1386,1337
Itawamba County,Mississippi,23411,23333,23390,23448,23474,23609
Jackson County,Mississippi,139453,140024,139995,140433,141504,141425
Jasper County,Mississippi,16988,16798,16539,16481,16546,16569
Jefferson County,Mississippi,7711,7574,7648,7627,7574,7507
Jefferson Davis County,Mississippi,12441,12175,12079,11950,11837,11665
Jones County,Mississippi,67816,67834,68284,68810,68235,68215
Kemper County,Mississippi,10460,10255,10356,10264,10213,9969
Lafayette County,Mississippi,47561,48417,50377,51676,52220,53154
Lamar County,Mississippi,56081,57140,57853,58877,59935,60618
Lauderdale County,Mississippi,80409,80615,80282,80328,79413,78524
Lawrence County,Mississippi,12897,12669,12605,12506,12526,12622
Leake County,Mississippi,23756,23282,23228,23303,23191,22763
Lee County,Mississippi,82909,84174,85075,85387,85242,85300
Leflore County,Mississippi,32335,31957,31555,31542,31526,30999
Lincoln County,Mississippi,34878,34842,34834,34732,34766,34649
Lowndes County,Mississippi,59800,59567,59623,59843,59750,59710
Madison County,Mississippi,95587,97118,98488,100248,101690,103465
Marion County,Mississippi,27022,26718,26362,26116,25786,25563
Marshall County,Mississippi,37078,36759,36564,36497,36191,35916
Monroe County,Mississippi,36901,36544,36391,36105,36006,35827
Montgomery County,Mississippi,10907,10756,10560,10525,10327,10152
Neshoba County,Mississippi,29673,29709,29684,29454,29457,29463
Newton County,Mississippi,21666,21489,21597,21668,21816,21747
Noxubee County,Mississippi,11495,11323,11170,11059,11121,11043
Oktibbeha County,Mississippi,47712,47864,48960,49275,49343,49800
Panola County,Mississippi,34657,34494,34428,34398,34378,34167
Pearl River County,Mississippi,55724,55470,55088,54932,55298,55191
Perry County,Mississippi,12214,12239,12084,12117,12219,12277
Pike County,Mississippi,40439,40405,40081,39974,39961,39956
Pontotoc County,Mississippi,30042,29795,30350,30694,30840,30908
Prentiss County,Mississippi,25217,25305,25317,25409,25411,25459
Quitman County,Mississippi,8165,8023,7799,7819,7676,7486
Rankin County,Mississippi,142491,144037,145560,147089,148081,149039
Scott County,Mississippi,28321,28306,28249,28214,28433,28265
Sharkey County,Mississippi,4880,4876,4787,4668,4628,4585
Simpson County,Mississippi,27509,27368,27372,27507,27535,27222
Smith County,Mississippi,16474,16523,16334,16203,16168,16059
Stone County,Mississippi,17892,17920,18049,17961,17892,18070
Sunflower County,Mississippi,29014,28569,28468,28003,27509,27005
Tallahatchie County,Mississippi,15342,15357,15093,15021,14736,14588
Tate County,Mississippi,28981,28725,28501,28347,28206,28296
Tippah County,Mississippi,22197,22072,21957,22055,22054,22131
Tishomingo County,Mississippi,19603,19608,19605,19478,19452,19552
Tunica County,Mississippi,10747,10580,10445,10474,10545,10343
Union County,Mississippi,27132,27323,27363,27772,28168,28429
Walthall County,Mississippi,15407,15391,15098,14887,14878,14638
Warren County,Mississippi,48815,48254,48123,48274,47966,47485
Washington County,Mississippi,51076,50439,50068,49721,49135,48130
Wayne County,Mississippi,20760,20637,20624,20478,20516,20566
Webster County,Mississippi,10285,10130,10052,9939,9975,9899
Wilkinson County,Mississippi,9860,9578,9459,9348,9216,9122
Winston County,Mississippi,19183,19010,18970,18709,18480,18317
Yalobusha County,Mississippi,12633,12495,12359,12332,12272,12447
Yazoo County,Mississippi,28083,28218,28265,27926,27759,27387
Adair County,Missouri,25614,25597,25643,25653,25530,25378
Andrew County,Missouri,17319,17265,17391,17368,17322,17296
Atchison County,Missouri,5646,5582,5518,5421,5371,5306
Audrain County,Missouri,25460,25604,25626,25654,25935,26096
Barry County,Missouri,35745,35653,35678,35714,35758,35829
Barton County,Missouri,12367,12366,12345,12218,12019,11880
Bates County,Missouri,17038,17019,16696,16491,16562,16446
Benton County,Missouri,19110,19016,18942,18866,18775,18670
Bollinger County,Missouri,12342,12382,12402,12439,12373,12182
Boone County,Missouri,163200,166000,168730,171126,173019,174974
Buchanan County,Missouri,89090,89602,89822,89758,89525,89100
Butler County,Missouri,42796,42989,42997,42932,42887,42951
Caldwell County,Missouri,9445,9209,9113,9064,9017,9014
Callaway County,Missouri,44333,44314,44440,44499,44743,44834
Camden County,Missouri,44036,43608,43883,43853,44053,44237
Cape Girardeau County,Missouri,75887,76663,77121,77566,78108,78572
Carroll County,Missouri,9289,9258,9102,9106,9021,8992
Carter County,Missouri,6299,6318,6263,6313,6265,6263
Cass County,Missouri,99755,99992,100505,100826,100978,101603
Cedar County,Missouri,13983,13833,13830,13929,13933,13934
Chariton County,Missouri,7832,7724,7657,7621,7659,7589
Christian County,Missouri,77855,78685,79753,80763,82039,83279
Clark County,Missouri,7126,7030,6977,6905,6881,6801
Clay County,Missouri,222627,225023,227486,230362,233297,235637
Clinton County,Missouri,20730,20649,20481,20490,20259,20609
Cole County,Missouri,76126,76431,76365,76618,76531,76720
Cooper County,Missouri,17590,17579,17534,17638,17572,17642
Crawford County,Missouri,24618,24823,24778,24535,24638,24526
Dade County,Missouri,7856,7771,7561,7550,7615,7595
Dallas County,Missouri,16736,16767,16779,16498,16385,16393
Daviess County,Missouri,8440,8308,8261,8267,8294,8253
DeKalb County,Missouri,12878,12915,12877,12749,12684,12687
Dent County,Missouri,15711,15577,15622,15691,15578,15593
Douglas County,Missouri,13642,13619,13587,13457,13544,13373
Dunklin County,Missouri,31945,32021,31861,31676,31356,30895
Franklin County,Missouri,101504,101625,101353,101739,101999,102426
Gasconade County,Missouri,15230,15113,14990,14896,14885,14858
Gentry County,Missouri,6739,6827,6806,6783,6816,6692
Greene County,Missouri,275381,277410,280707,283987,285852,288072
Grundy County,Missouri,10270,10263,10337,10373,10209,10097
Harrison County,Missouri,8949,8902,8739,8720,8634,8615
Henry County,Missouri,22249,22195,22155,22064,22021,21737
Hickory County,Missouri,9631,9582,9390,9272,9228,9201
Holt County,Missouri,4904,4834,4660,4578,4520,4484
Howard County,Missouri,10141,10204,10189,10238,10141,10139
Howell County,Missouri,40569,40601,40575,40220,40116,40117
